"id","type","title","author"
5376e465443cf702ab000001,Santa Cruz,95060,Hey, all. I'm a former editor for Public Television; a 20 year veteran in 3D animation (3D Studio Max ((and predecessors)) );a volunteer at the California Academy of Sciences; and have been a Homo sapiens sapiens since 1953 .
5376e465443cf702ab000002,San Francisco,94109,startup founder
5376e465443cf702ab000003,San Francisco,94107,I have worked with data science, management and reporting across several industries.
5376e465443cf702ab000004,Menlo Park,94025,I'm using d3 on Literably.com, a reading website for K-5 students.
5376e465443cf702ab000005,Oakland,94609,klout.com/ak2webd3
5376e465443cf702ab000006,San Francisco,94105,Hi there! My interests include soccer, fantastic craft beer, and all things tech!
5376e465443cf702ab000007,Berkeley,94703,Novice learning to love d3
5376e465443cf702ab000008,San Francisco,94115,I'm a two-time Carbon Five employee; a semi-ex-developer; a recent graduate in graphic design; and a burgeoning designer. I also lub me some information visualizations; both the pragmatic-explanatory and the aesthetic-exploratory modes.
5376e465443cf702ab000009,San Francisco,94109,Manager of computing infrastructure for the Department of Electrical Engineering and Computer Sciences (EECS) at the University of California, Berkeley
5376e465443cf702ab00000a,San Francisco,94133,evolutionary systems biologist
5376e465443cf702ab00000b,Saratoga,95070,I am engineer.
5376e465443cf702ab00000c,San Francisco,94101,web developer and journalist interested in doing amazing things with the web.
5376e465443cf702ab00000d,San Francisco,94107,Freelance Developer
5376e465443cf702ab00000e,Mountain View,94043,I work at Coursera.
5376e465443cf702ab00000f,Seattle,98109,would like to learn the nuts and bolts of D3 as quickly as I can
5376e465443cf702ab000010,San Francisco,94105,I like data.
5376e465443cf702ab000011,San Francisco,94103,Hi I'm Adam..... a web developer and digital marketing guy, expanding my AS3/Flash toolkit to include the JS/HTML5 tools. 
5376e465443cf702ab000012,Lafayette,94549,Interesting in learning more about D3.
5376e465443cf702ab000013,Mountain View,94040,Entrepreneurial Technologist. Political Junkie. Wine Geek. 
5376e465443cf702ab000014,San Francisco,94110,engineer making the pretty things
5376e465443cf702ab000015,San Francisco,94105,Director of Integration at Slavery Footprint
5376e465443cf702ab000016,San Francisco,94105,I'm a software engineer and director of engineering at Delphix. I was one of the authors of DTrace and am interested in data visualization especially in the context of system behavior and performance analysis.
5376e465443cf702ab000017,Oakland,94609,20 year SF internet veteran, with a focus on products designed to synthesize and intervene in large-group decision-making patterns. Social systems, stories, visualization, technology, monetization. Angel investor in many edu and collab. start-ups.
5376e465443cf702ab000018,San Francisco,94107,Quant Analyst with experience in Experimental Design and Data Visualization
5376e465443cf702ab000019,San Francisco,94108,Ruby Developer at thoughtbot
5376e465443cf702ab00001a,Centerport,11721,My 2013 resolution is to learn D3...and make amazing visualizations!
5376e465443cf702ab00001b,Mountain View,94040,I am interested in learning more about d3. I have played with it a bit, but a few things were confusing, so I am hoping that some more immersion will help.
5376e465443cf702ab00001c,Berkeley,94704,I like potatoes.
5376e465443cf702ab00001d,San Francisco,94132,oops
5376e465443cf702ab00001e,San Francisco,94117,Checking out d3 for the first time. 
5376e465443cf702ab00001f,San Francisco,94101,Hey
5376e465443cf702ab000020,San Francisco,94101,Client group in Genesys Laboratories
5376e465443cf702ab000021,San Mateo,94404,Have been playing around with D3 for a little while.
5376e465443cf702ab000022,Cupertino,95014,Software engineer with love to interactive data visualization.
5376e465443cf702ab000023,San Francisco,94103,Ex-neuroscientist, data scientist, data artist, data visualizer, creative problem solver
5376e465443cf702ab000024,San Francisco,94114,Designer at Code for America. VERY interested in data visualization and the potential of d3.js!
5376e465443cf702ab000025,San Francisco,94107,pattern recognition and image analysis
5376e465443cf702ab000026,San Francisco,94103,I'm a communications specialist that does design around policy and data.
5376e465443cf702ab000027,Berkeley,94705,I work with data at UC Berkeley
5376e465443cf702ab000028,San Francisco,94109,Director of Product and Strategy at BancBox - a payments startup backed by Foundation Capital and others
5376e465443cf702ab000029,San Francisco,94101,data visualization lover
5376e465443cf702ab00002a,San Mateo,94403,Yahoo! Sports | GT Alum | Tech Enthusiast
5376e465443cf702ab00002b,San Bruno,94066,Engineering manager, StubHub. Manage the iOS, Android and UI development teams
5376e465443cf702ab00002c,San Francisco,94101,product manager, analytics and data visualization. using polychart and d3
5376e465443cf702ab00002d,San Francisco,94129,Yes please, D3.
5376e465443cf702ab00002e,Mountain View,94043,.
5376e465443cf702ab00002f,San Francisco,94110,Python programmer, tech book author
5376e465443cf702ab000030,Redwood City,94063,Job: Computational Scientist, Nodality Inc. Education: Ph.D. -- University of California, San Francisco -- Pharmaceutical Science and Pharmacogenomics.
5376e465443cf702ab000031,San Francisco,94110,Design Technologist at Stamen, and PhD Candidate in Geography at the University of British Columbia.
5376e465443cf702ab000032,San Francisco,94103,Programmer
5376e465443cf702ab000033,San Francisco,94109,software engineer
5376e465443cf702ab000034,San Francisco,94117,2013 Code for America Fellow
5376e465443cf702ab000035,San Francisco,94110,I'm a developer, but learning what script-based libraries and technologies are available.
5376e465443cf702ab000036,San Francisco,94103,Interested in learning more about data visualization
5376e465443cf702ab000037,Lugano,meetup22,Ph.D. student in Informatics, investigating on unstructured data (e.g., emails) in Software Engineering; originally from Italy; currently in Lugano, Switzerland. Microsoft Research Intern @ Redmond, WA for Summer 2012.
5376e465443cf702ab000038,Bangkok,meetup1,d3 newbie
5376e465443cf702ab000039,San Francisco,94105,Master Student in Transportation at Berkeley With very basic programming and musical skills
5376e465443cf702ab00003a,Berkeley,94701,CS / Software Engineering background. Long term interest in geo-spatial systems. 
5376e465443cf702ab00003b,San Francisco,94105,Chief Data Architect, Vast.com
5376e465443cf702ab00003c,San Francisco,94109,I'm an analytics engineer looking for more creative ways to visualize business intelligence.
5376e465443cf702ab00003d,San Francisco,94116,I like information visualization and d3. just moved back from NYC and interested in maybe collaborating on something down the road. I learned about this meetup through your BART visualization project.
5376e465443cf702ab00003e,San Francisco,94133,Apple employee loves R, tufte, visualisation
5376e465443cf702ab00003f,San Francisco,94108,Javascript Developer
5376e465443cf702ab000040,San Jose,95129,I like learning things!
5376e465443cf702ab000041,Berkeley,94703,Current Berkeley student and aspiring data scientist looking to build skills in visualization of big data
5376e465443cf702ab000042,Cupertino,95014,I am awesome hacker. I love to hack, check out my work at www.alexwchen.com
5376e465443cf702ab000043,Campbell,95008,learning Web Development at Hack Reactor
5376e465443cf702ab000044,Mountain View,94043,iOS developer
5376e465443cf702ab000045,Boston,02199,Physicist turned web developer. Working on plot.ly, an online data analysis and collaboration service
